idLivre,titre,auteur,DateSortie,editeur,prixAchat,numDep
1,Les Mystères de la Physique,Marie Curie,2010,Quantum Press,29.99,1
2,Le Monde des Lettres,Victor Hugo,1857,Livre Classique,12.5,2
3,Stratégies Financières Innovantes,Elon Musk,2018,Future Finance,35.75,3
4,Dessins Créatifs pour les Petits,Young Artists Studio,2015,Creative Kids,19.99,4
5,Poèmes Intemporels,Emily Dickinson,1886,Lyrical Works,14.99,5
6,L'Univers de l'Informatique,Alan Turing,1945,Computing House,45,6
7,L'Art de la Peinture Classique,Leonardo da Vinci,1500,Artistry House,29.99,7
8,Jeux Éducatifs pour Enfants,Smart Learning Lab,2021,Playful Education,18,8
9,Explorations Mathématiques,Ada Lovelace,2015,Math Wizards,32.5,9
10,Philosophie Contemporaine: Débats Actuels,Slavoj Žižek,2000,Modern Philosophy,22.5,10
11,Musique Ludique pour les Petits,Mozart,1785,Musical Wonders,18.75,11
12,Biologie Avancée,James Watson,2003,Genetic Discoveries,40,12
13,Les Classiques Littéraires,Various Authors,1875,Literary Wonders,22.99,13
14,Stratégies de Marketing Numérique,Seth Godin,2023,Digital Trends,29.5,14
15,Contes Féériques pour Enfants,Hans Christian Andersen,1840,Fantasy Realm Books,15,15
16,Art Contemporain: Explorons les Couleurs,Modern Art Studio,2010,Visual Journeys,31.75,16
17,À la Découverte de l'Astronomie,Carl Sagan,1980,Cosmic Publishing,23,17
18,Cinéma: Techniques et Secrets de Réalisation,Sofia Coppola,2015,FilmCraft,36.75,18
19,Exploration de la Nature pour Enfants,Young Explorers Club,2019,Outdoor Adventures,13.99,19
20,Statistiques Économiques en Profondeur,Robert J. Shiller,2020,Economic Insights,40.75,20
21,Les Mystères de l'Univers Quantique,Marie Curie,2013,Quantum Press,32.99,1
22,Épopées Littéraires du Monde,Various Authors,1200,Classic Literature Co.,18.5,2
23,Stratégies Financières Avant-Gardistes,Elon Musk,2020,Future Finance,39.99,3
24,Œuvres Artistiques pour les Jeunes,Young Artists Studio,2018,Creative Kids,20.99,4
25,Poèmes Inspirants pour l'Âme,Robert Frost,1930,Verse Expressions,15.5,5
